钱包地址,胜率,7D交易数,最近7D盈亏,SOL余额
NE4ui7wfLk5VXHn5WhrPQzCARLUtgUdtvmN6kCpctmW,/,///,/ (/),0.094 SOL ($18.04)
2DwGVzkDPwGm1wvNcjJmRRwd4cHeeA9yFFpjByw3iPHz,/,///,/ (/),0.003 SOL ($0.569)
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,/,///,/ (/),"13.59 SOL ($2,618.71)"
AQQ1acfKLvM9GiS8tuNi95XrNg4VQrTV8qGzgYDrXwaB,/,///,/ (/),0.003 SOL ($0.569)
6KFLg6bnDFB6fmYRGBEbD5MRwtV4Ttkw8rsz94MtHqK7,42.86%,37/44,/ (/),0.01 SOL ($1.91)
3oSbiNMEY5ccHeS1kZaEEWSrDnq4zBUF5oBAPjGfw2zh,44.44%,68/82,+84.3% (+$146.7K),1.98 SOL ($381.59)
3HtWz7iMnbSJtrG4Jq5A3FcJoEN5gEZz95hkUPXBgNeG,44.44%,269/177,+25.76% (+$207.8K),70.29 SOL ($13.5K)
3jgub3P9KP3XA9Dwh7XpKu35BiQNTZZXbPmfBAJMsroL,8.93%,400/282,+44.19% (+$670.7K),"39.67 SOL ($7,647.12)"
8T9mnATndr2aUw9r28uTtxKSh2JfqJwrctW6XaWPHTgy,23.98%,836/376,+18.18% (+$303.9K),260.14 SOL ($50.2K)
G2upvNYaDkzvXWy7s6zZZhHXj4gtJsfYRHCXY89W2wuv,47.62%,114/81,/ (/),"15.83 SOL ($3,051.09)"
7MfEGyB7LfP1WFxdrEVrhG5THN3D7JgUhRptYPTX3iyf,10%,112/48,/ (/),327.39 SOL ($63.1K)
grxkoczm2T2N5v2qPuTrcgdRTNDzABhYk5i1KozeezD,27.22%,302/322,+6.18% (+$17.3K),72.54 SOL ($14K)
